Station,Date,Time,Grade,Celsius,pH,DO,CODMn,NH,TP,TN,EC,TU,Chla,AD
Xidong,2022/1/26 4:00,25.17 ,4,9.07,8.17,11.021,1.953,0.025,0.0522,1.882,390.44,33.43,0.0049,2795170
Wuguishan,2022/1/26 8:00,25.33 ,3,7.48,8.13,11.226,2.875,0.025,0.0375,0.921,398.223,21.539,0.01571,14661900
Wulihuxin,2022/1/26 8:00,25.33 ,3,7.54,8.022,11.025,4.462,0.0543,0.0379,0.528,439.629,7.678,0.02936,5592880
Lanshanzui,2022/1/26 8:00,25.33 ,4,7.63,7.813,10.755,4.417,0.4283,0.0995,2.766,597.754,54.85,,3175420
Tuoshan,2022/1/26 8:00,25.33 ,3,7.84,8.256,12.123,4.441,0.025,0.0309,0.741,412.427,101.877,0.01584,10030620
Xuhuxin,2022/1/26 8:00,25.33 ,2,8.52,8.14,11.32,2.391,0.0354,0.0067,0.249,381.088,5.06,0.00171,984838
Xidong,2022/1/26 8:00,25.33 ,4,8.76,8.18,11.093,1.891,0.025,0.0528,1.905,390.15,35.49,0.00546,2703170
Wuguishan,2022/1/26 12:00,25.50 ,,7.58,8.168,11.325,,0.025,0.0322,0.944,401.092,18.053,0.01667,13765800
Wulihuxin,2022/1/26 12:00,25.50 ,3,7.54,8.022,10.995,3.577,0.0541,0.0387,0.633,439.385,7.041,0.02225,4555850
Lanshanzui,2022/1/26 12:00,25.50 ,5,7.56,7.826,11.087,4.214,0.3899,0.121,2.503,572.133,65.71,0.00243,2944460
Tuoshan,2022/1/26 12:00,25.50 ,3,7.88,8.476,12.871,3.884,0.025,0.0354,0.718,415.873,122.382,0.01987,10770390
Xuhuxin,2022/1/26 12:00,25.50 ,2,8.54,8.205,11.626,2.344,0.0355,0.0087,0.386,380.513,5.16,0.00163,988112
Xidong,2022/1/26 12:00,25.50 ,4,9,8.19,11.065,2.011,0.0258,0.0567,1.961,389.58,37.54,0.0043,2616490
Wuguishan,2022/1/26 16:00,25.67 ,3,7.59,8.153,11.339,2.61,0.025,0.0322,0.574,400.59,17.077,0.01382,13205600
Wulihuxin,2022/1/26 16:00,25.67 ,3,7.59,8.052,11.138,3.965,0.0559,0.0389,0.743,440.042,8.09,0.02364,4156480
Lanshanzui,2022/1/26 16:00,25.67 ,5,7.5,7.877,11.214,3.901,0.0535,0.1088,2.2,572.97,65.04,0.003,2939230
Tuoshan,2022/1/26 16:00,25.67 ,3,7.89,8.331,12.56,3.176,0.025,0.0364,0.82,410.122,135.298,0.01591,9785543
Xuhuxin,2022/1/26 16:00,25.67 ,2,8.59,8.256,11.778,2.409,0.0349,0.0084,0.39,378.574,5.491,0.00209,1266730
Xidong,2022/1/26 16:00,25.67 ,4,8.86,8.24,11.24,1.969,0.025,0.0559,1.952,388.25,35.04,0.0052,2819840
Wuguishan,2022/1/26 20:00,25.83 ,3,7.58,8.161,11.288,2.937,0.025,0.0331,1.17,423.166,29.77,0.01508,18132100
Wulihuxin,2022/1/26 20:00,25.83 ,3,7.47,8.036,11.017,3.796,0.052,0.0436,0.682,438.448,8.633,0.02436,4549870
Lanshanzui,2022/1/26 20:00,25.83 ,5,7.4,7.904,11.386,5.331,0.025,0.1578,2.104,576.437,139.16,0.0036,5246330
Tuoshan,2022/1/26 20:00,25.83 ,3,7.77,8.439,12.72,3.715,0.025,0.041,0.694,411.169,136.174,0.02447,12453770
Xuhuxin,2022/1/26 20:00,25.83 ,2,8.5,8.204,11.684,2.364,0.0318,0.0092,0.396,377.223,5.674,0.00214,1145690
Xidong,2022/1/26 20:00,25.83 ,4,8.77,8.16,11.22,2.027,0.0331,0.0607,2.008,388.42,41.61,0.00463,2727450
Wuguishan,2022/1/27 0:00,26.00 ,3,7.42,8.122,11.281,3.2,0.025,0.0471,1.161,396.044,41.886,0.01424,24286500
Wulihuxin,2022/1/27 0:00,26.00 ,3,7.43,7.927,10.71,3.529,0.0565,0.0409,0.649,432.753,9.644,0.01655,3344980
Lanshanzui,2022/1/27 0:00,26.00 ,5,7.38,7.9,11.402,4.787,0.025,0.1457,2.167,585.787,103.76,0.00145,4177530
Tuoshan,2022/1/27 0:00,26.00 ,3,7.71,8.208,12.079,3.131,0.025,0.0381,0.904,408.995,146.356,0.01404,9490071
Xuhuxin,2022/1/27 0:00,26.00 ,2,8.35,8.165,11.549,2.315,0.0365,0.0088,0.385,376.452,6.369,0.00211,1220140
Xidong,2022/1/27 0:00,26.00 ,4,8.41,8.2,11.254,1.897,0.0309,0.0584,1.944,385.66,38.45,0.00534,2928040
Wuguishan,2022/1/27 4:00,26.17 ,4,7.35,8.117,11.263,3.02,0.025,0.0578,1.155,394.017,46.383,0.01376,27917300
Wulihuxin,2022/1/27 4:00,26.17 ,3,7.34,7.957,10.881,3.576,0.0538,0.0427,0.701,435.54,8.67,0.02239,3953140
Lanshanzui,2022/1/27 4:00,26.17 ,5,7.27,7.924,11.43,4.597,0.025,0.121,2.07,581.074,88.86,0.004,3680790
Tuoshan,2022/1/27 4:00,26.17 ,3,7.63,8.168,11.957,3.18,0.025,0.0382,0.629,404.572,156.671,0.01362,8848809
Xuhuxin,2022/1/27 4:00,26.17 ,2,8.25,8.127,11.421,2.303,0.0332,0.0082,0.391,376.546,6.443,0.00209,1176790
Xidong,2022/1/27 4:00,26.17 ,4,8.2,8.18,11.314,1.969,0.0319,0.0587,1.952,384.91,40.42,0.00454,2898670
Wuguishan,2022/1/27 8:00,26.33 ,4,7.3,8.128,11.286,3.446,0.025,0.0616,1.008,393.049,48.225,0.01788,29396100
Wulihuxin,2022/1/27 8:00,26.33 ,3,7.37,7.974,10.953,4.422,0.0603,0.0392,0.566,436.16,8.408,0.02434,4209550
Lanshanzui,2022/1/27 8:00,26.33 ,,7.21,,11.37,4.323,0.0355,0.1172,2.083,563.991,89.83,0.00292,3470840
Tuoshan,2022/1/27 8:00,26.33 ,3,7.5,8.176,11.848,3.109,0.025,0.0329,0.664,410.011,157.155,0.01529,9447648
Xuhuxin,2022/1/27 8:00,26.33 ,2,8.16,8.098,11.349,2.59,0.0397,0.008,0.307,377.134,6.472,0.00226,1252190
Xidong,2022/1/27 8:00,26.33 ,4,8.09,8.19,11.362,1.945,0.0273,0.0559,1.886,384.79,37.76,0.00515,2805390
Wuguishan,2022/1/27 12:00,26.50 ,4,7.33,8.132,11.319,3.081,0.025,0.0534,1.137,391.486,37.26,0.01549,22505800
Wulihuxin,2022/1/27 12:00,26.50 ,3,7.43,7.989,11.007,3.902,0.0553,0.0404,0.664,436.015,7.678,0.02458,4308690
Lanshanzui,2022/1/27 12:00,26.50 ,,7.23,,11.356,4.379,0.0773,0.1156,2.098,564.06,87.93,0.00235,3490940
Tuoshan,2022/1/27 12:00,26.50 ,3,7.5,8.326,12.292,3.769,0.025,0.039,0.705,413.845,172.407,0.01637,10214010
Xuhuxin,2022/1/27 12:00,26.50 ,2,8.16,8.135,11.583,2.353,0.0429,0.0089,0.381,377.89,7.847,0.00194,1253170
Xidong,2022/1/27 12:00,26.50 ,4,8.28,8.22,11.516,1.896,0.025,0.0608,1.95,385.63,37.83,0.00481,2828070
Wuguishan,2022/1/27 16:00,26.67 ,4,7.35,8.127,11.342,3.257,0.025,0.0593,1.135,388.401,38.032,0.01516,26142500
Wulihuxin,2022/1/27 16:00,26.67 ,3,7.5,8.011,11.096,3.728,0.0557,0.0394,0.675,435.764,7.078,0.02376,4263340
Lanshanzui,2022/1/27 16:00,26.67 ,,7.25,,11.391,4.493,0.216,0.128,2.041,557.664,93.45,,3417480
Tuoshan,2022/1/27 16:00,26.67 ,3,7.52,8.258,12.383,3.585,0.025,0.0379,0.743,415.115,165.668,0.01539,9556209
Xuhuxin,2022/1/27 16:00,26.67 ,2,8.23,8.191,11.727,2.449,0.0279,0.0086,0.4,378.882,6.936,0.00237,1253880
Xidong,2022/1/27 16:00,26.67 ,4,8.37,8.17,11.665,1.577,0.0292,0.0628,1.969,385.09,38,0.00277,2465220
Wuguishan,2022/1/27 20:00,26.83 ,3,7.27,8.134,11.358,3.263,0.025,0.0429,1.07,395.12,34.904,0.01821,20969000
Wulihuxin,2022/1/27 20:00,26.83 ,3,7.29,7.991,11.139,3.648,0.0518,0.0409,0.675,436.093,8.371,0.02564,5124260
Lanshanzui,2022/1/27 20:00,26.83 ,,7.21,,11.396,4.48,0.2561,0.1305,2.205,560.894,91.84,,3191630
Tuoshan,2022/1/27 20:00,26.83 ,3,7.47,8.234,12.326,3.39,0.025,0.0414,0.746,433.534,176.18,0.01556,9598858
Xuhuxin,2022/1/27 20:00,26.83 ,2,8.14,8.138,11.642,2.312,0.0302,0.0096,0.398,379.655,6.046,0.00238,1289870
Xidong,2022/1/27 20:00,26.83 ,4,8.21,8.24,11.67,1.896,0.0251,0.059,1.947,384.61,36.97,0.00355,2593420
Wuguishan,2022/1/28 0:00,27.00 ,3,7.06,8.13,11.402,3.196,0.025,0.049,1.143,379.882,31.544,0.01733,19698000
Wulihuxin,2022/1/28 0:00,27.00 ,3,7.29,7.976,10.984,3.913,0.0528,0.045,0.73,436.854,8.277,0.0276,4948150
Lanshanzui,2022/1/28 0:00,27.00 ,,7.06,,11.48,4.48,0.2561,0.1305,2.205,560.908,107.16,,3515210
Tuoshan,2022/1/28 0:00,27.00 ,3,7.38,8.251,12.284,3.384,0.025,0.043,0.761,447.655,165.881,0.01507,9887889
Xuhuxin,2022/1/28 0:00,27.00 ,2,7.95,8.129,11.532,2.194,0.0265,0.01,0.406,380.196,6.676,0.00204,1166280
Xidong,2022/1/28 0:00,27.00 ,4,7.91,8.15,11.694,2.026,0.0299,0.0602,1.935,384.9,39.43,0.00312,2476940
Wuguishan,2022/1/28 4:00,27.17 ,3,6.89,8.131,11.338,2.951,0.025,0.0311,1.091,397.425,20.761,0.01919,13091100
Wulihuxin,2022/1/28 4:00,27.17 ,3,7.38,7.923,10.717,3.76,0.0594,0.0417,0.698,436.704,6.704,0.02477,5031160
Tuoshan,2022/1/28 4:00,27.17 ,3,7.21,8.142,12.052,3.171,0.025,0.0385,0.583,425.006,180.503,0.01314,9086452
Xuhuxin,2022/1/28 4:00,27.17 ,2,7.76,8.104,11.502,2.341,0.0256,0.0109,0.412,383.142,6.663,0.0028,1389480
Xidong,2022/1/28 4:00,27.17 ,4,7.66,8.16,11.771,1.883,0.0288,0.0582,1.913,385.07,37.87,0.00314,2555790
Wuguishan,2022/1/28 8:00,27.33 ,4,6.78,8.122,11.345,3.204,0.025,0.0511,1.046,405.561,32.444,0.01856,21185900
Wulihuxin,2022/1/28 8:00,27.33 ,,7.18,7.926,10.805,,0.0578,0.0384,0.613,436.074,7.116,0.02165,4248520
Tuoshan,2022/1/28 8:00,27.33 ,3,7.11,8.15,11.933,3.382,0.025,0.039,0.798,434.466,201.175,0.0138,10795880
Xuhuxin,2022/1/28 8:00,27.33 ,2,7.6,8.097,11.394,2.583,0.0417,0.0093,0.319,384.442,6.136,0.00291,1574280
Xidong,2022/1/28 8:00,27.33 ,4,7.59,8.14,11.731,1.969,0.0279,0.056,1.937,385.24,40.06,0.00303,2567760
Wuguishan,2022/1/28 12:00,27.50 ,4,6.7,8.125,11.445,3.323,0.025,0.0504,1.275,388.971,41.277,0.01879,24038800
Wulihuxin,2022/1/28 12:00,27.50 ,,7.09,7.964,11.024,,0.057,0.0339,0.651,435.765,7.022,0.01695,3331950
Tuoshan,2022/1/28 12:00,27.50 ,3,7.15,8.439,12.927,3.945,0.025,0.0397,0.822,437.513,205.733,0.02116,12033490
Xuhuxin,2022/1/28 12:00,27.50 ,2,7.62,8.134,11.663,2.556,0.0326,0.0118,0.424,384.305,6.678,0.00253,1728860
Xidong,2022/1/28 12:00,27.50 ,4,7.56,8.17,11.85,1.686,0.025,0.056,1.937,384.99,37.68,0.00386,2776550
Wuguishan,2022/1/28 16:00,27.67 ,3,6.7,8.143,11.491,2.894,0.025,0.0403,1.231,388.633,32.654,0.01773,20663900
Wulihuxin,2022/1/28 16:00,27.67 ,,7.13,7.972,11.052,,0.0696,0.0362,0.759,436.047,6.498,0.01859,3279800
Tuoshan,2022/1/28 16:00,27.67 ,3,7.15,8.384,13.084,3.649,0.025,0.0459,0.953,449.819,213.467,0.01519,10346030
Xuhuxin,2022/1/28 16:00,27.67 ,2,7.64,8.189,11.833,2.569,0.028,0.0125,0.414,383.409,7.631,0.00294,1766580
Xidong,2022/1/28 16:00,27.67 ,3,7.45,8.2,12.041,1.648,0.025,0.0411,1.698,387.67,36.74,0.00563,3298460
Wuguishan,2022/1/28 20:00,27.83 ,3,6.56,8.124,11.477,3.536,0.025,0.0345,1.243,389.494,42.641,0.0144,24751600
Wulihuxin,2022/1/28 20:00,27.83 ,,7.05,7.912,10.934,,0.0731,0.0379,0.847,437.008,7.266,0.02156,3722910
Lanshanzui,2022/1/28 20:00,27.83 ,,6.67,,11.69,4.48,,0.1305,,560.287,81.67,0.00252,2959610
Tuoshan,2022/1/28 20:00,27.83 ,3,6.99,8.325,13.003,3.55,0.025,0.0407,0.954,451.916,203.184,0.01814,10981490
Xuhuxin,2022/1/28 20:00,27.83 ,2,7.41,8.135,11.749,2.445,0.0267,0.0131,0.434,382.052,7.942,0.00321,1833790
Xidong,2022/1/28 20:00,27.83 ,3,7.11,8.18,12.041,1.954,0.025,0.037,1.704,388.06,35.98,0.00545,3155530
Wuguishan,2022/1/29 0:00,28.00 ,3,6.34,8.134,11.486,3.536,0.025,0.0322,1.26,386.799,41.057,0.01494,25837400
Wulihuxin,2022/1/29 0:00,28.00 ,,7.38,7.869,10.454,,0.0729,0.0387,0.9,438.303,5.243,0.04873,6172330
Lanshanzui,2022/1/29 0:00,28.00 ,,6.49,,11.698,4.48,1.4776,0.1412,2.321,560.519,81.99,0.00255,1871630
Tuoshan,2022/1/29 0:00,28.00 ,3,6.9,8.389,12.853,3.55,0.025,0.0402,0.815,444.311,224.338,0.02258,12116490
Xuhuxin,2022/1/29 0:00,28.00 ,2,7.14,8.099,11.614,2.445,0.025,0.0149,0.456,380.011,8.33,0.00308,1705240
Xidong,2022/1/29 0:00,28.00 ,3,6.83,8.17,12.013,1.969,0.025,0.0349,1.621,388.74,34.94,0.00583,3518650
Wuguishan,2022/1/29 4:00,28.17 ,2,6.22,8.127,11.468,3.356,0.025,0.0182,1.26,385.797,43.295,0.01542,25394300
Wulihuxin,2022/1/29 4:00,28.17 ,,6.93,7.928,10.83,,0.0637,0.0378,0.84,436.088,5.824,0.01988,3747840
Lanshanzui,2022/1/29 4:00,28.17 ,,6.32,,11.727,,,,,554.005,77.38,0.00261,1843830
Tuoshan,2022/1/29 4:00,28.17 ,3,6.7,8.226,12.306,3.673,0.025,0.0333,0.583,410.345,202.988,0.01551,9395345
Xuhuxin,2022/1/29 4:00,28.17 ,2,6.91,8.063,11.511,2.413,0.025,0.0151,0.478,378.647,9.138,0.00318,2107590
Xidong,2022/1/29 4:00,28.17 ,3,6.56,8.16,11.99,2.015,0.025,0.036,1.644,388.56,35.8,0.0057,3413380
Wuguishan,2022/1/29 8:00,28.33 ,4,6.06,8.125,11.487,3.46,0.0288,0.0549,1.054,387.396,42.782,0.01662,26730000
Wulihuxin,2022/1/29 8:00,28.33 ,,7.24,7.868,10.525,,0.0656,0.0346,0.705,436.998,4.307,0.01986,5368920
Tuoshan,2022/1/29 8:00,28.33 ,3,6.62,8.206,12.223,3.627,0.025,0.0351,0.709,414.906,214.15,0.01606,9569046
Xuhuxin,2022/1/29 8:00,28.33 ,2,6.77,8.054,11.458,2.704,0.0366,0.0125,0.37,378.229,9.839,0.00302,1721480
Xidong,2022/1/29 8:00,28.33 ,3,6.59,8.15,11.912,1.831,0.025,0.0345,1.675,388.15,34.51,0.00553,3397530
Wuguishan,2022/1/29 12:00,28.50 ,3,6.13,8.161,11.538,3.401,0.025,0.037,1.279,398.688,35.744,0.01833,20620000
Wulihuxin,2022/1/29 12:00,28.50 ,,6.93,7.945,10.836,,0.0681,0.0391,0.705,437.485,5.618,0.01649,3472670
Tuoshan,2022/1/29 12:00,28.50 ,3,6.68,8.217,12.507,3.174,0.025,0.0339,0.878,407.354,231.394,0.01056,9581404
Xuhuxin,2022/1/29 12:00,28.50 ,2,6.77,8.106,11.701,2.309,0.0268,0.0147,0.475,378.817,10.275,0.00295,1871830
Xidong,2022/1/29 12:00,28.50 ,3,6.6,8.19,12.136,1.832,0.025,0.0331,1.661,388.43,34.6,0.00569,3469540
Wuguishan,2022/1/29 16:00,28.67 ,3,6.19,8.164,11.594,3.261,0.025,0.0346,1.186,393.511,27.653,0.01971,19783300
Wulihuxin,2022/1/29 16:00,28.67 ,3,6.97,8.01,11.11,2.876,0.025,0.0399,1.007,437.467,5.524,0.02029,3173610
Tuoshan,2022/1/29 16:00,28.67 ,3,6.82,8.394,13.055,3.529,0.025,0.0405,0.912,441.055,237.021,0.01521,9939337
Xuhuxin,2022/1/29 16:00,28.67 ,2,6.81,8.165,11.936,2.418,0.0258,0.0145,0.482,378.637,10.682,0.00303,1949330
Xidong,2022/1/29 16:00,28.67 ,3,6.78,8.28,12.195,1.879,0.025,0.0327,1.62,388.28,34.72,0.00641,3597450
Wuguishan,2022/1/29 20:00,28.83 ,2,6.11,8.159,11.552,2.903,0.025,0.0169,1.14,393.551,23.911,0.01956,16389000
Wulihuxin,2022/1/29 20:00,28.83 ,3,6.8,7.946,10.915,3.042,0.025,0.0383,0.953,438.314,5,0.02085,5324280
Lanshanzui,2022/1/29 20:00,28.83 ,,6.16,,11.816,4.367,,0.1412,,548.504,61.94,0.0025,2067900
Tuoshan,2022/1/29 20:00,28.83 ,3,6.62,8.295,12.847,4.218,0.025,0.0353,0.75,419.217,229.337,0.01595,9617879
Xuhuxin,2022/1/29 20:00,28.83 ,2,6.64,8.142,11.85,2.367,0.025,0.0164,0.492,379.214,11.195,0.0032,1978160
Xidong,2022/1/29 20:00,28.83 ,3,6.47,8.17,12.151,1.962,0.025,0.031,1.608,388.2,34.03,0.00707,3895540
Wuguishan,2022/1/30 0:00,29.00 ,2,5.94,8.152,11.561,3.008,0.025,0.0084,1.151,390.505,24.376,0.01827,17354200
Wulihuxin,2022/1/30 0:00,29.00 ,3,6.59,7.959,10.901,3.178,0.025,0.0432,1.005,437.847,5.562,0.01917,5105140
Lanshanzui,2022/1/30 0:00,29.00 ,,5.99,,11.818,4.11,1.6807,0.1041,2.256,550.004,55.14,0.00039,966870
Tuoshan,2022/1/30 0:00,29.00 ,3,6.49,8.165,12.428,2.834,0.025,0.0347,1.208,400.094,239.376,0.00868,7981025
Xuhuxin,2022/1/30 0:00,29.00 ,2,6.46,8.103,11.763,2.327,0.025,0.0187,0.491,379.889,12.133,0.00347,1892080
Xidong,2022/1/30 0:00,29.00 ,3,6.38,8.14,12.026,1.81,0.0385,0.0339,1.831,384.87,34.95,0.00474,3242990
Wuguishan,2022/1/30 4:00,29.17 ,2,5.81,8.147,11.548,3.398,0.025,0.0189,1.234,392.163,38.884,0.01796,25430700
Wulihuxin,2022/1/30 4:00,29.17 ,3,6.59,7.928,10.828,3.047,0.025,0.0436,1.03,438.602,6.236,0.01997,5399070
Lanshanzui,2022/1/30 4:00,29.17 ,,5.83,,11.826,4.045,0.3318,0.0962,2.248,557.157,54.36,0.00216,873416
Tuoshan,2022/1/30 4:00,29.17 ,3,6.31,8.248,12.681,3.568,0.025,0.0335,0.592,426.457,236.233,0.01526,9707474
Xuhuxin,2022/1/30 4:00,29.17 ,2,6.27,8.078,11.698,2.33,0.025,0.0168,0.497,380.439,12.485,0.00306,1994750
Xidong,2022/1/30 4:00,29.17 ,3,6.16,8.15,12.053,1.808,0.0272,0.0338,1.748,386.08,31.86,0.00489,3163390
Wuguishan,2022/1/30 8:00,29.33 ,3,5.65,8.161,11.571,3.434,0.0342,0.0461,1.01,387.43,35.347,0.02301,21386600
Wulihuxin,2022/1/30 8:00,29.33 ,3,6.57,7.913,10.706,3.393,0.025,0.0374,0.904,438.684,4.7,0.0176,4525830
Tuoshan,2022/1/30 8:00,29.33 ,3,6.08,8.327,12.853,3.673,0.025,0.0379,0.751,438.874,239.458,0.01457,10561240
Xuhuxin,2022/1/30 8:00,29.33 ,2,6.15,8.068,11.665,2.622,0.0412,0.014,0.538,380.332,12.945,0.00278,1985300
Xidong,2022/1/30 8:00,29.33 ,3,6.08,8.14,12.053,1.826,0.0273,0.0368,1.746,385.96,32.47,0.00566,3485610
Wuguishan,2022/1/30 12:00,29.50 ,3,5.92,8.169,11.655,3.059,0.0289,0.0467,1.222,386.186,38.591,0.01936,22457400
Wulihuxin,2022/1/30 12:00,29.50 ,3,6.45,7.967,11.042,3.241,0.025,0.0374,0.952,438.044,4.756,0.01149,4647360
Lanshanzui,2022/1/30 12:00,29.50 ,,6.08,,12.015,3.723,0.07,0.0696,1.998,513.198,61.41,0.00141,1183260
Tuoshan,2022/1/30 12:00,29.50 ,3,6.39,8.413,13.305,3.562,0.025,0.0395,0.815,434.654,243.252,0.01157,10225860
Xuhuxin,2022/1/30 12:00,29.50 ,2,6.54,8.109,12.076,2.622,0.0412,0.014,0.538,379.632,13.958,0.00229,1825980
Xidong,2022/1/30 12:00,29.50 ,3,6.5,8.22,12.318,1.909,0.025,0.0321,1.668,386.78,30.59,0.00503,3364080
Wuguishan,2022/1/30 16:00,29.67 ,4,6.33,8.198,11.732,3.145,0.025,0.0557,1.176,404.215,31.333,0.02862,19655400
Wulihuxin,2022/1/30 16:00,29.67 ,3,6.85,8.019,11.218,3.221,0.025,0.0344,0.952,438.267,4.756,0.01513,4850020
Lanshanzui,2022/1/30 16:00,29.67 ,4,6.92,8.029,11.866,3.723,0.0515,0.0696,1.879,506.325,57.86,0.00406,4665430
Tuoshan,2022/1/30 16:00,29.67 ,3,6.78,8.566,13.924,3.82,0.025,0.0408,0.752,432.408,260.385,0.01239,10813790
Xuhuxin,2022/1/30 16:00,29.67 ,2,7.1,8.21,12.44,2.863,0.025,0.0057,0.595,379.667,14.375,0.00227,1834200
Xidong,2022/1/30 16:00,29.67 ,3,6.95,8.25,12.431,1.824,0.025,0.0312,1.637,387.07,,0.00583,3312850
Wuguishan,2022/1/30 20:00,29.83 ,3,6.19,8.183,11.687,2.993,0.0306,0.0431,1.207,398.382,25.201,0.02788,16478700
Wulihuxin,2022/1/30 20:00,29.83 ,3,6.91,7.918,10.494,3.109,0.0381,0.0386,1.068,441.59,3.745,0.01415,5330870
Lanshanzui,2022/1/30 20:00,29.83 ,4,6.22,7.915,12.117,4.15,0.056,0.0714,2.002,509.393,60.72,0.00413,4436370
Tuoshan,2022/1/30 20:00,29.83 ,3,6.76,8.377,12.818,3.511,0.025,0.0357,0.814,419.574,277.634,0.01209,9266424
Xidong,2022/1/30 20:00,29.83 ,3,6.96,8.21,12.313,1.87,0.025,0.0343,1.777,385.33,32.82,0.00454,3094680
Wuguishan,2022/1/31 0:00,30.00 ,3,6.03,8.164,11.649,2.827,0.0301,0.0222,1.148,393.857,22.776,0.01654,18426000
Wulihuxin,2022/1/31 0:00,30.00 ,3,6.74,7.73,9.184,2.883,0.075,0.0459,1.359,442.561,2.996,0.01274,4541740
Lanshanzui,2022/1/31 0:00,30.00 ,4,6.03,7.934,12.083,3.974,0.0541,0.0671,1.991,510.317,59.27,0.00162,4376140
Tuoshan,2022/1/31 0:00,30.00 ,3,6.58,8.327,12.828,2.978,0.025,0.033,1.02,412.684,289.378,0.01117,9034560
Xuhuxin,2022/1/31 0:00,30.00 ,2,6.7,8.177,12.126,2.708,0.025,0.0061,0.553,380.477,13.046,0.00271,1736630
Xidong,2022/1/31 0:00,30.00 ,3,6.87,8.23,12.278,1.885,0.025,0.0354,1.694,386.12,,0.00595,3512560
Wuguishan,2022/1/31 4:00,30.17 ,2,5.92,8.145,11.613,2.919,0.025,0.0169,1.171,393.786,23.512,0.01557,16756200
Wulihuxin,2022/1/31 4:00,30.17 ,3,6.59,7.697,9.198,2.86,0.0719,0.0277,1.405,444.487,3.577,0.01405,9870770
Lanshanzui,2022/1/31 4:00,30.17 ,4,5.77,7.922,11.938,4.351,0.3382,0.09,2.386,548.514,42.02,0.00014,3238120
Tuoshan,2022/1/31 4:00,30.17 ,3,6.37,8.367,12.888,3.906,0.025,0.039,0.698,416.261,256.797,0.0157,9924278
Xuhuxin,2022/1/31 4:00,30.17 ,2,6.44,8.123,11.972,2.7,0.025,0.0066,0.549,381.185,12.987,0.00269,1948400
Xidong,2022/1/31 4:00,30.17 ,3,6.47,8.19,12.314,1.893,0.025,0.0348,1.689,386.14,,0.00528,3186630
Wuguishan,2022/1/31 8:00,30.33 ,3,5.73,8.143,11.621,2.871,0.0423,0.036,0.992,392.383,25.367,0.0154,17488800
Wulihuxin,2022/1/31 8:00,30.33 ,3,6.49,7.697,8.982,3.282,0.0806,0.0384,1.213,445.203,4.026,0.00991,5178060
Lanshanzui,2022/1/31 8:00,30.33 ,4,5.65,7.905,11.897,3.994,0.4176,0.0781,2.55,552.42,37.58,,3208480
Tuoshan,2022/1/31 8:00,30.33 ,3,6.25,8.392,12.92,3.649,0.025,0.0371,0.765,421.28,262.767,0.01343,9947184
Xuhuxin,2022/1/31 8:00,30.33 ,2,6.21,8.12,11.976,2.757,0.025,0.0052,0.523,381.143,13.087,0.00247,1675160
Xidong,2022/1/31 8:00,30.33 ,3,6.4,8.23,12.226,1.931,0.025,0.0382,1.668,386.79,,0.00622,3398940
Wuguishan,2022/1/31 12:00,30.50 ,3,6.12,8.169,11.737,2.861,0.0393,0.0451,1.15,396.116,25.365,0.01559,17890700
Wulihuxin,2022/1/31 12:00,30.50 ,3,6.59,7.927,10.965,3.238,0.0729,0.0363,1.299,442.501,6.03,0.00997,4071950
Lanshanzui,2022/1/31 12:00,30.50 ,4,6.01,7.931,12.089,3.947,0.1604,0.0675,2.117,523.545,47.18,0.00064,3567990
Tuoshan,2022/1/31 12:00,30.50 ,3,6.66,8.537,13.699,3.731,0.025,0.0422,0.834,440.009,285.866,0.01265,10890800
Xuhuxin,2022/1/31 12:00,30.50 ,2,6.93,8.195,12.278,2.486,0.025,0.005,0.44,379.536,12.776,0.00165,1631200
Xidong,2022/1/31 12:00,30.50 ,3,6.79,8.3,12.445,1.962,0.025,0.0392,1.72,385.35,,0.006,3223930
Wuguishan,2022/1/31 16:00,30.67 ,3,6.43,8.225,11.797,2.666,0.0362,0.0488,1.033,395.295,20.662,0.01968,13312000
Wulihuxin,2022/1/31 16:00,30.67 ,3,7.05,7.933,10.847,3.209,0.0596,0.0346,1.179,442.841,4.494,0.01294,2996970
Lanshanzui,2022/1/31 16:00,30.67 ,4,6.32,7.97,12.251,4.1,0.025,0.0668,2.052,506.172,54.91,0.00148,4338420
Tuoshan,2022/1/31 16:00,30.67 ,3,6.88,8.542,14.202,3.87,0.025,0.0387,0.808,438.018,294.043,0.01182,10237590
Xuhuxin,2022/1/31 16:00,30.67 ,2,7.41,8.247,12.509,2.867,0.025,0.0053,0.582,378.474,12.01,0.00194,1522720
Xidong,2022/1/31 16:00,30.67 ,3,7.26,8.39,12.709,1.946,0.025,0.0401,1.729,385.42,32.51,0.00687,3243160
Wuguishan,2022/1/31 20:00,30.83 ,3,6.31,8.202,11.745,2.808,0.0423,0.0335,1.101,398.28,24.577,0.02544,13012700
Wulihuxin,2022/1/31 20:00,30.83 ,3,6.95,7.933,10.679,3.167,0.0432,0.0355,1.122,441.872,4.232,0.01599,6851600
Lanshanzui,2022/1/31 20:00,30.83 ,4,6.36,7.929,12.066,4.184,0.0579,0.0731,2.028,510.53,56.15,0.00157,3858620
Tuoshan,2022/1/31 20:00,30.83 ,3,6.8,8.522,13.774,3.965,0.025,0.0395,0.806,435.095,304.269,0.01392,9863173
